pt1,1.45,4.12
pt2,0.24,7.82
pt3,2.35,6.98
pt4,4.56,3.21
pt5,7.98,2.54
pt6,6.12,0.98
pt7,3.65,8.23
pt8,5.74,2.65
pt9,9.12,1.24
pt10,0.35,6.98
pt11,3.45,2.41
pt12,5.67,4.85
pt13,2.35,1.78
pt14,6.90,2.34
pt15,4.21,7.65
pt16,1.34,8.76
pt17,0.98,6.12
pt18,3.54,2.67
pt19,2.35,4.81
pt20,1.24,9.12
pt21,7.65,6.34
pt22,5.78,4.21
pt23,3.54,2.98
pt24,2.67,1.24
pt25,4.81,3.65
pt26,6.12,5.74
pt27,9.87,7.65
pt28,8.23,1.34
pt29,5.67,4.21
pt30,4.12,3.54
pt31,2.98,6.34
pt32,1.24,5.78
pt33,7.65,3.54
pt34,6.34,2.67
pt35,4.21,1.24
pt36,3.65,9.87
pt37,5.74,8.23
pt38,2.67,5.67
pt39,1.24,4.12
pt40,3.54,2.98
pt41,2.98,1.24
pt42,6.34,7.65
pt43,5.78,6.34
pt44,4.21,4.21
pt45,3.54,3.65
pt46,2.67,5.74
pt47,1.24,2.67
pt48,7.65,1.24
pt49,6.34,3.54
pt50,4.21,2.98
pt51,3.65,1.24
pt52,5.74,6.34
pt53,2.67,5.78
pt54,1.24,4.21
pt55,3.54,3.54
pt56,2.98,2.67
pt57,6.34,1.24
pt58,5.78,7.65
pt59,4.21,6.34
pt60,3.65,4.21
pt61,5.74,3.54
pt62,2.67,2.98
pt63,1.24,1.24
pt64,7.65,6.34
pt65,6.34,5.78
pt66,4.21,4.21
pt67,3.54,3.65
pt68,2.67,5.74
pt69,1.24,2.67
pt70,7.65,1.24
pt71,6.34,3.54
pt72,4.21,2.98
pt73,3.65,1.24
pt74,5.74,7.65
pt75,2.67,6.34
pt76,1.24,4.21
pt77,3.54,3.65
pt78,2.98,5.74
pt79,6.34,2.67
pt80,5.78,1.24
pt81,4.21,3.54
pt82,3.65,2.98
pt83,5.74,1.24
pt84,2.67,7.65
pt85,1.24,6.34
pt86,3.54,4.21
pt87,2.98,3.54
pt88,6.34,2.98
pt89,5.78,1.24
pt90,4.21,7.65
pt91,3.65,6.34
pt92,5.74,4.21
pt93,2.67,3.54
pt94,1.24,2.98
pt95,3.54,1.24
pt96,2.98,7.65
pt97,6.34,6.34
pt98,5.78,4.21
pt99,4.21,3.54
pt100,3.65,2.98
pt101,5.74,1.24
pt102,2.67,7.65
pt103,1.24,6.34
